file,answer
0005_000838.wav,Happy
0005_000704.wav,Happy
0005_000899.wav,Happy
0005_000888.wav,Happy
0005_000717.wav,Happy
0005_000962.wav,Happy
0005_000854.wav,Happy
0005_000738.wav,Happy
0005_000821.wav,Happy
0005_000713.wav,Happy
0005_000818.wav,Happy
0005_000789.wav,Happy
0005_001024.wav,Happy
0005_000976.wav,Happy
0005_000741.wav,Happy
0005_000978.wav,Happy
0005_000775.wav,Happy
0005_000846.wav,Happy
0005_000889.wav,Happy
0005_000951.wav,Happy
0005_000855.wav,Happy
0005_000828.wav,Happy
0005_000742.wav,Happy
0005_000879.wav,Happy
0005_000720.wav,Happy
0005_000833.wav,Happy
0005_000939.wav,Happy
0005_001033.wav,Happy
0005_000788.wav,Happy
0005_000797.wav,Happy
0005_000778.wav,Happy
0005_000777.wav,Happy
0005_000841.wav,Happy
0005_000972.wav,Happy
0005_000965.wav,Happy
0005_000882.wav,Happy
0005_000995.wav,Happy
0005_000932.wav,Happy
0005_000760.wav,Happy
0005_000732.wav,Happy
0005_000867.wav,Happy
0005_000881.wav,Happy
0005_000910.wav,Happy
0005_000759.wav,Happy
0005_000919.wav,Happy
0005_000801.wav,Happy
0005_001035.wav,Happy
0005_000819.wav,Happy
0005_000989.wav,Happy
0005_001027.wav,Happy
0005_001247.wav,Sad
0005_001240.wav,Sad
0005_001154.wav,Sad
0005_001294.wav,Sad
0005_001106.wav,Sad
0005_001329.wav,Sad
0005_001177.wav,Sad
0005_001260.wav,Sad
0005_001286.wav,Sad
0005_001355.wav,Sad
0005_001267.wav,Sad
0005_001237.wav,Sad
0005_001053.wav,Sad
0005_001225.wav,Sad
0005_001359.wav,Sad
0005_001133.wav,Sad
0005_001304.wav,Sad
0005_001125.wav,Sad
0005_001243.wav,Sad
0005_001070.wav,Sad
0005_001164.wav,Sad
0005_001250.wav,Sad
0005_001324.wav,Sad
0005_001249.wav,Sad
0005_001281.wav,Sad
0005_001399.wav,Sad
0005_001131.wav,Sad
0005_001313.wav,Sad
0005_001184.wav,Sad
0005_001292.wav,Sad
0005_001073.wav,Sad
0005_001342.wav,Sad
0005_001352.wav,Sad
0005_001151.wav,Sad
0005_001100.wav,Sad
0005_001300.wav,Sad
0005_001223.wav,Sad
0005_001373.wav,Sad
0005_001382.wav,Sad
0005_001232.wav,Sad
0005_001271.wav,Sad
0005_001201.wav,Sad
0005_001392.wav,Sad
0005_001394.wav,Sad
0005_001141.wav,Sad
0005_001173.wav,Sad
0005_001309.wav,Sad
0005_001219.wav,Sad
0005_001126.wav,Sad
0005_001161.wav,Sad
0005_000243.wav,Neutral
0005_000065.wav,Neutral
0005_000253.wav,Neutral
0005_000039.wav,Neutral
0005_000042.wav,Neutral
0005_000136.wav,Neutral
0005_000004.wav,Neutral
0005_000247.wav,Neutral
0005_000127.wav,Neutral
0005_000319.wav,Neutral
0005_000279.wav,Neutral
0005_000342.wav,Neutral
0005_000137.wav,Neutral
0005_000291.wav,Neutral
0005_000238.wav,Neutral
0005_000140.wav,Neutral
0005_000091.wav,Neutral
0005_000175.wav,Neutral
0005_000055.wav,Neutral
0005_000058.wav,Neutral
0005_000036.wav,Neutral
0005_000181.wav,Neutral
0005_000178.wav,Neutral
0005_000135.wav,Neutral
0005_000151.wav,Neutral
0005_000348.wav,Neutral
0005_000020.wav,Neutral
0005_000197.wav,Neutral
0005_000169.wav,Neutral
0005_000272.wav,Neutral
0005_000228.wav,Neutral
0005_000081.wav,Neutral
0005_000145.wav,Neutral
0005_000273.wav,Neutral
0005_000233.wav,Neutral
0005_000043.wav,Neutral
0005_000234.wav,Neutral
0005_000337.wav,Neutral
0005_000011.wav,Neutral
0005_000304.wav,Neutral
0005_000124.wav,Neutral
0005_000282.wav,Neutral
0005_000143.wav,Neutral
0005_000231.wav,Neutral
0005_000196.wav,Neutral
0005_000321.wav,Neutral
0005_000284.wav,Neutral
0005_000132.wav,Neutral
0005_000327.wav,Neutral
0005_000156.wav,Neutral
0005_000581.wav,Angry
0005_000426.wav,Angry
0005_000511.wav,Angry
0005_000490.wav,Angry
0005_000628.wav,Angry
0005_000366.wav,Angry
0005_000681.wav,Angry
0005_000532.wav,Angry
0005_000392.wav,Angry
0005_000475.wav,Angry
0005_000431.wav,Angry
0005_000576.wav,Angry
0005_000509.wav,Angry
0005_000402.wav,Angry
0005_000620.wav,Angry
0005_000455.wav,Angry
0005_000560.wav,Angry
0005_000700.wav,Angry
0005_000535.wav,Angry
