file,answer
spike0013-angry.wav,Angry
spike0007-angry.wav,Angry
spike0005-angry.wav,Angry
spike0118-angry.wav,Angry
spike0099-angry.wav,Angry
spike0080-angry.wav,Angry
spike0040-angry.wav,Angry
spike0086-angry.wav,Angry
spike0092-angry.wav,Angry
spike0070-angry.wav,Angry
spike0073-angry.wav,Angry
spike0102-angry.wav,Angry
spike0115-angry.wav,Angry
spike0059-angry.wav,Angry
spike0111-angry.wav,Angry
spike0010-angry.wav,Angry
spike0041-angry.wav,Angry
spike0078-angry.wav,Angry
spike0144-angry.wav,Angry
spike0014-angry.wav,Angry
spike0122-angry.wav,Angry
spike0127-angry.wav,Angry
spike0039-angry.wav,Angry
spike0033-angry.wav,Angry
spike0131-angry.wav,Angry
spike0089-angry.wav,Angry
spike0134-angry.wav,Angry
spike0137-angry.wav,Angry
spike0100-angry.wav,Angry
spike0149-angry.wav,Angry
spike0145-angry.wav,Angry
spike0136-angry.wav,Angry
spike0088-angry.wav,Angry
spike0012-angry.wav,Angry
spike0065-angry.wav,Angry
spike0139-angry.wav,Angry
spike0090-angry.wav,Angry
spike0098-angry.wav,Angry
spike0071-angry.wav,Angry
spike0112-angry.wav,Angry
spike0079-angry.wav,Angry
spike0141-angry.wav,Angry
spike0019-angry.wav,Angry
spike0036-angry.wav,Angry
spike0032-angry.wav,Angry
spike0120-angry.wav,Angry
spike0047-angry.wav,Angry
spike0011-angry.wav,Angry
spike0116-angry.wav,Angry
spike0085-angry.wav,Angry
spike0107-angry.wav,Angry
spike0057-angry.wav,Angry
spike0017-angry.wav,Angry
spike0142-angry.wav,Angry
spike0018-angry.wav,Angry
spike0042-angry.wav,Angry
spike0105-angry.wav,Angry
spike0095-angry.wav,Angry
spike0114-angry.wav,Angry
spike0072-angry.wav,Angry
spike0023-angry.wav,Angry
spike0008-angry.wav,Angry
spike0037-angry.wav,Angry
spike0038-angry.wav,Angry
spike0133-angry.wav,Angry
spike0084-angry.wav,Angry
spike0081-angry.wav,Angry
spike0148-angry.wav,Angry
spike0002-angry.wav,Angry
spike0009-angry.wav,Angry
spike0063-angry.wav,Angry
spike0128-angry.wav,Angry
spike0069-angry.wav,Angry
spike0055-angry.wav,Angry
spike0024-angry.wav,Angry
spike0125-angry.wav,Angry
spike0113-angry.wav,Angry
spike0001-angry.wav,Angry
spike0146-angry.wav,Angry
spike0050-angry.wav,Angry
m0103-angry.wav,Angry
m0246-angry.wav,Angry
m0091-angry.wav,Angry
m0102-angry.wav,Angry
m0175-angry.wav,Angry
